crime_type,year,month,day,hour,location,latitude,longitude
theft,2007,7,7,19,STREET,41.951781211,-87.78160944
battery,2012,11,7,13,STREET,41.907537986,-87.716724153
battery,2009,5,4,18,SIDEWALK,41.704662765,-87.628209119
theft,2006,10,4,21,ALLEY,41.807924493,-87.719352913
theft,2003,5,9,22,BARBERSHOP,41.809471582,-87.610741752
theft,2003,12,18,9,RESIDENCE,41.736450174,-87.545816084
battery,2007,12,24,17,SIDEWALK,41.791387595,-87.65358866
theft,2002,10,26,20,OTHER,41.673098901,-87.660028618
theft,2004,5,7,17,PARKING LOT/GARAGE(NON.RESID.),41.80462016,-87.684368169
battery,2001,6,30,21,CHA PARKING LOT/GROUNDS,41.903836143,-87.642511973
criminal damage,2011,9,27,11,"SCHOOL, PUBLIC, BUILDING",41.918646522,-87.64613311
criminal damage,2012,8,6,10,RESIDENCE,41.877902343,-87.73161989
battery,2004,11,22,3,VEHICLE NON-COMMERCIAL,41.770167266,-87.638661936
criminal damage,2001,5,15,5,STREET,41.997961031,-87.682639237
theft,2005,7,30,24,ALLEY,41.894346977,-87.661074263
theft,2015,12,16,6,RESIDENCE,41.933342373,-87.67959191
battery,2013,4,26,12,SIDEWALK,41.783991152,-87.702062265
theft,2008,12,14,24,VEHICLE NON-COMMERCIAL,41.931543563,-87.745852938
battery,2013,10,22,20,SIDEWALK,41.807648267,-87.664948824
theft,2008,8,29,10,CHA APARTMENT,41.8157892,-87.743364643
criminal damage,2007,10,11,20,DEPARTMENT STORE,41.93160649,-87.741008646
battery,2001,4,18,13,SIDEWALK,41.902108324,-87.721562778
battery,2014,5,29,6,GOVERNMENT BUILDING/PROPERTY,41.953900467,-87.907472601
theft,2001,7,10,20,STREET,41.86656294,-87.700945888
battery,2013,6,19,13,STREET,41.863656629,-87.733662478
theft,2002,8,5,22,PARKING LOT/GARAGE(NON.RESID.),41.939831359,-87.712520761
criminal damage,2012,8,16,16,RESIDENCE,41.967660685,-87.6642091
theft,2010,9,29,22,RESIDENCE,41.776012647,-87.592970061
theft,2001,9,16,15,CTA TRAIN,42.022246259,-87.675277736
